,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
143,71,0.0,0.562,0.519,3.0,-8.744,1.0,0.0326,0.557,0.000268,0.172,0.415,122.925
144,76,0.0,0.578,0.444,8.0,-11.447,0.0,0.0644,0.44,0.0,0.146,0.36,76.032
145,72,0.0,0.483,0.468,8.0,-7.642,1.0,0.0341,0.784,0.0,0.152,0.319,135.875
146,60,0.0,0.598,0.236,9.0,-9.733,1.0,0.0363,0.845,0.0,0.109,0.413,149.839
147,38,0.0,0.713,0.606,1.0,-6.952,0.0,0.0418,0.713,0.000166,0.163,0.527,127.938
148,63,0.0,0.613,0.685,10.0,-7.993,1.0,0.0419,0.212,0.0615,0.0926,0.268,139.985
149,69,0.0,0.586,0.532,11.0,-8.837,0.0,0.0328,0.779,0.000565,0.124,0.494,99.994
150,70,0.0,0.657,0.581,0.0,-8.108,1.0,0.0298,0.699,1.82e-05,0.116,0.323,118.037
151,59,0.0,0.643,0.268,11.0,-15.073,0.0,0.09,0.593,2.06e-06,0.316,0.62,143.813
152,78,0.0,0.612,0.595,10.0,-6.356,1.0,0.0331,0.68,1.11e-06,0.104,0.435,99.991
153,69,0.0,0.413,0.433,4.0,-8.958,1.0,0.042,0.0722,0.0,0.123,0.208,169.954
154,83,0.0,0.428,0.413,0.0,-7.783,1.0,0.0281,0.827,9.35e-06,0.108,0.355,79.646
155,81,0.0,0.417,0.439,10.0,-6.901,1.0,0.0368,0.711,0.0,0.193,0.506,83.982
156,34,0.0,0.651,0.604,5.0,-7.844,1.0,0.0504,0.731,4.28e-06,0.125,0.62,145.888
157,72,0.0,0.588,0.595,9.0,-7.493,1.0,0.0488,0.777,0.0,0.153,0.594,90.013
158,71,0.0,0.696,0.499,2.0,-10.061,1.0,0.0415,0.582,0.0,0.101,0.591,151.848
159,62,0.0,0.468,0.658,2.0,-7.6,1.0,0.0668,0.81,0.0333,0.12,0.534,87.607
160,73,0.0,0.576,0.688,9.0,-5.136,1.0,0.0319,0.346,0.0439,0.262,0.726,135.984
161,67,0.0,0.466,0.769,0.0,-3.207,1.0,0.0325,0.579,0.0,0.108,0.472,87.959
162,67,0.0,0.763,0.587,8.0,-8.299,0.0,0.0381,0.358,6.03e-06,0.13,0.794,106.977
